UniProt_AC,gene_name,uniprot_entry_name,protein_name,gpcr_class_letter,gpcr_class_name,gpcr_family,organism,chembl_target_id,n_pairs_in_db,has_gpcract_prediction
P30938,Sstr5,SSR5_RAT,Somatostatin receptor type 5,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL4318,9,False
P30939,HTR1F,5HT1F_HUMAN,Serotonin 1f (5-HT1f) receptor,A,Class A (Rhodopsin),5-Hydroxytryptamine receptors,Homo sapiens,CHEMBL1805,107,True
P30968,GNRHR,GNRHR_HUMAN,Gonadotropin-releasing hormone receptor,A,Class A (Rhodopsin),Gonadotrophin-releasing hormone receptors,Homo sapiens,CHEMBL1855,1530,True
P30969,Gnrhr,GNRHR_RAT,Gonadotropin-releasing hormone receptor,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL3066,600,False
P30988,CALCR,CALCR_HUMAN,Calcitonin receptor,B,Class B1 (Secretin),Calcitonin receptors,Homo sapiens,CHEMBL1832,158,True
P30989,NTSR1,NTR1_HUMAN,Neurotensin receptor 1,A,Class A (Rhodopsin),Neurotensin receptors,Homo sapiens,CHEMBL4123,532,True
P30994,Htr2b,5HT2B_RAT,5-hydroxytryptamine receptor 2B,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL323,601,False
P31388,Htr6,5HT6R_RAT,5-hydroxytryptamine receptor 6,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL3372,14,False
P31389,HRH1,HRH1_CAVPO,Histamine H1 receptor,A,Class A (Rhodopsin),,Cavia porcellus,CHEMBL3943,295,False
P31390,Hrh1,HRH1_RAT,Histamine H1 receptor,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL4701,15,False
P31391,SSTR4,SSR4_HUMAN,Somatostatin receptor 4,A,Class A (Rhodopsin),Somatostatin receptors,Homo sapiens,CHEMBL1853,516,True
P31421,Grm2,GRM2_RAT,Metabotropic glutamate receptor 2,C,Class C (Glutamate),,Rattus norvegicus,CHEMBL2851,188,False
P31422,Grm3,GRM3_RAT,Metabotropic glutamate receptor 3,C,Class C (Glutamate),,Rattus norvegicus,CHEMBL3067,47,False
P31423,Grm4,GRM4_RAT,Metabotropic glutamate receptor 4,C,Class C (Glutamate),,Rattus norvegicus,CHEMBL2787,42,False
P31424,Grm5,GRM5_RAT,Metabotropic glutamate receptor 5,C,Class C (Glutamate),,Rattus norvegicus,CHEMBL2564,521,False
